,Player,Season,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Blank,SOS
1,Devin Booker,2010-11,Clemson,ACC,34,33,24.3,3.0,6.7,0.447,2.6,5.4,0.475,0.4,1.3,0.333,1.7,2.3,0.7340000000000001,1.6,3.8,5.5,0.7,0.6,0.4,1.6,2.9,8.1,,6.58
2,Devin Booker,2011-12,Clemson,ACC,31,29,29.2,4.0,8.7,0.459,3.8,8.0,0.482,0.2,0.7,0.217,2.4,3.4,0.698,2.6,4.4,7.0,1.3,0.9,0.9,1.8,2.6,10.5,,3.41
3,Devin Booker,2012-13,Clemson,ACC,31,31,31.9,5.1,9.4,0.545,5.1,9.1,0.5589999999999999,0.1,0.4,0.182,2.8,4.5,0.623,3.0,4.5,7.5,0.8,0.6,1.1,1.9,2.3,13.1,,4.44
0,Cameron Payne,2013-14,Murray State,OVC,34,34,32.7,5.6,13.8,0.40399999999999997,3.5,7.6,0.456,2.1,6.2,0.341,3.5,4.6,0.774,0.3,3.3,3.6,5.4,1.7,0.6,3.2,2.8,16.8,,-3.58
1,Cameron Payne,2014-15,Murray State,OVC,35,35,32.2,7.0,15.3,0.456,4.6,9.0,0.513,2.4,6.4,0.377,3.8,4.8,0.787,0.6,3.1,3.7,6.0,1.9,0.5,2.5,2.1,20.2,,-2.81
0,Kelly Oubre,2014-15,Kansas,Big 12,36,27,21.0,3.1,6.9,0.444,2.1,4.3,0.4970000000000001,0.9,2.6,0.358,2.2,3.1,0.718,1.1,3.8,5.0,0.8,1.1,0.4,1.2,2.0,9.3,,12.13
0,Terry Rozier,2013-14,Louisville,AAC,37,10,18.9,2.5,6.3,0.401,1.5,3.6,0.42200000000000004,1.0,2.6,0.371,1.0,1.4,0.7120000000000001,0.8,2.3,3.1,1.8,1.0,0.1,0.6,1.5,7.0,,4.8
1,Terry Rozier,2014-15,Louisville,ACC,36,35,35.0,5.9,14.5,0.41100000000000003,4.6,10.1,0.456,1.3,4.4,0.306,3.9,4.9,0.79,1.2,4.4,5.6,3.0,2.0,0.2,2.2,1.7,17.1,,8.98
0,Rashad Vaughn,2014-15,UNLV,MWC,23,23,32.3,6.3,14.3,0.439,3.9,8.1,0.481,2.3,6.1,0.383,3.0,4.3,0.6940000000000001,0.6,4.2,4.8,1.6,0.8,0.3,2.2,2.3,17.8,,3.38
0,Sam Dekker,2012-13,Wisconsin,Big Ten,35,3,22.3,3.4,7.1,0.47600000000000003,1.9,3.4,0.5670000000000001,1.4,3.7,0.391,1.4,2.0,0.69,1.2,2.1,3.4,1.3,0.7,0.4,1.1,1.2,9.6,,9.73
