,Player,Season,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Blank,SOS
3,Jake Layman,2015-16,Maryland,Big Ten,36,36,30.9,3.9,7.8,0.5,2.3,3.8,0.61,1.6,4.0,0.396,2.2,2.6,0.8320000000000001,1.1,4.2,5.3,1.1,1.1,1.0,1.7,1.9,11.6,,8.31
0,Michael Gbinije,2011-12,Duke,ACC,19,0,5.8,0.6,1.1,0.55,0.4,0.5,0.7,0.2,0.5,0.4,0.4,0.4,1.0,0.3,0.6,0.8,0.2,0.2,0.1,0.4,1.0,1.7,,8.4
1,Michael Gbinije,2013-14,Syracuse,ACC,34,0,14.6,1.0,2.7,0.38,0.6,1.4,0.408,0.4,1.3,0.349,0.9,1.4,0.6459999999999999,0.6,1.1,1.8,1.2,0.7,0.2,0.5,1.6,3.4,,7.25
2,Michael Gbinije,2014-15,Syracuse,ACC,30,24,35.0,4.6,10.0,0.46,3.0,5.8,0.509,1.6,4.2,0.392,1.9,3.3,0.5710000000000001,1.2,3.8,5.0,3.6,1.9,0.3,2.1,2.8,12.7,,7.68
3,Michael Gbinije,2015-16,Syracuse,ACC,37,37,37.9,6.1,13.2,0.461,3.6,6.9,0.525,2.5,6.3,0.391,2.9,4.3,0.6629999999999999,1.1,3.0,4.1,4.3,1.9,0.4,2.8,2.6,17.5,,9.75
0,Kris Dunn,2012-13,Providence,Big East,25,18,27.2,2.0,4.9,0.39799999999999996,1.8,4.4,0.413,0.2,0.6,0.28600000000000003,1.6,2.3,0.69,1.6,3.2,4.8,3.2,1.2,0.3,1.9,3.1,5.7,,6.55
1,Kris Dunn,2013-14,Providence,Big East,4,0,26.5,1.5,4.8,0.316,1.5,4.3,0.353,0.0,0.5,0.0,0.8,0.8,1.0,0.3,2.3,2.5,5.0,1.8,0.3,3.5,2.3,3.8,,7.85
2,Kris Dunn,2014-15,Providence,Big East,33,33,34.0,5.6,11.8,0.474,4.8,9.5,0.505,0.8,2.3,0.35100000000000003,3.6,5.2,0.6859999999999999,0.8,4.6,5.5,7.5,2.7,0.3,4.2,3.1,15.6,,9.5
3,Kris Dunn,2015-16,Providence,Big East,33,32,33.0,5.6,12.5,0.44799999999999995,4.3,9.0,0.47700000000000004,1.3,3.4,0.3720000000000001,4.0,5.8,0.695,1.1,4.2,5.3,6.2,2.5,0.6,3.5,2.8,16.4,,8.46
0,Georges Niang,2012-13,Iowa State,Big 12,35,23,25.1,4.5,8.7,0.515,3.4,5.9,0.5720000000000001,1.1,2.8,0.392,2.0,2.9,0.7,1.3,3.2,4.6,1.8,0.7,0.2,1.5,3.0,12.1,,6.13
1,Georges Niang,2013-14,Iowa State,Big 12,34,34,30.1,6.5,13.8,0.474,5.1,9.4,0.542,1.4,4.3,0.327,2.2,3.1,0.721,1.0,3.5,4.5,3.6,0.6,0.6,2.4,3.2,16.7,,9.88
2,Georges Niang,2014-15,Iowa State,Big 12,34,34,30.7,5.5,11.9,0.461,4.1,8.6,0.485,1.4,3.4,0.4,3.0,3.7,0.8079999999999999,1.0,4.4,5.4,3.4,0.5,0.5,2.7,2.8,15.3,,9.15
3,Georges Niang,2015-16,Iowa State,Big 12,35,35,33.2,8.1,14.8,0.546,6.5,10.7,0.605,1.6,4.1,0.392,2.7,3.4,0.807,1.3,4.9,6.2,3.3,0.9,0.6,2.6,3.2,20.5,,10.16
0,Ben Bentil,2014-15,Providence,Big East,34,23,21.5,2.2,5.1,0.436,1.9,4.2,0.465,0.3,0.9,0.3,1.7,2.4,0.695,2.3,2.6,4.9,0.6,0.3,0.4,1.2,2.6,6.4,,9.5
1,Ben Bentil,2015-16,Providence,Big East,35,33,34.2,7.0,15.2,0.462,5.5,10.7,0.517,1.5,4.5,0.32899999999999996,5.5,7.1,0.782,2.7,5.0,7.7,1.1,0.9,1.0,1.9,2.8,21.1,,8.46
0,Joel Bolomboy,2012-13,Weber State,Big Sky,37,0,21.7,2.3,4.0,0.578,2.3,4.0,0.578,0.0,0.0,,2.4,3.5,0.695,2.4,4.7,7.1,0.4,0.4,1.7,1.6,2.3,7.0,,-5.61
1,Joel Bolomboy,2013-14,Weber State,Big Sky,30,28,30.1,2.8,5.7,0.488,2.7,5.6,0.485,0.0,0.0,1.0,3.1,4.3,0.7290000000000001,3.6,7.4,11.0,0.6,0.5,0.8,1.5,2.5,8.7,,-4.23
2,Joel Bolomboy,2014-15,Weber State,Big Sky,30,29,33.2,4.4,9.2,0.473,3.9,7.9,0.4920000000000001,0.5,1.4,0.366,4.1,5.5,0.735,3.6,6.6,10.2,0.8,0.7,1.7,2.7,2.4,13.3,,-3.5
3,Joel Bolomboy,2015-16,Weber State,Big Sky,33,33,31.5,5.8,10.2,0.573,5.2,8.5,0.613,0.6,1.7,0.364,4.8,6.9,0.6970000000000001,3.3,9.3,12.6,1.1,0.7,1.2,2.4,2.2,17.1,,-5.13
0,Kay Felder,2013-14,Oakland,Horizon,33,33,32.4,3.1,7.7,0.402,2.5,5.8,0.4270000000000001,0.6,1.9,0.32299999999999995,2.7,3.6,0.7559999999999999,0.5,3.4,3.9,6.4,0.9,0.1,2.8,3.0,9.5,,2.78
1,Kay Felder,2014-15,Oakland,Horizon,33,32,38.5,5.5,13.2,0.42200000000000004,4.1,8.9,0.461,1.4,4.2,0.33799999999999997,5.6,6.8,0.826,0.8,4.0,4.8,7.6,2.0,0.2,4.2,2.5,18.1,,1.27
2,Kay Felder,2015-16,Oakland,Horizon,35,35,36.7,7.7,17.5,0.44,5.5,11.4,0.485,2.2,6.1,0.355,6.8,8.1,0.848,0.7,3.5,4.3,9.3,2.0,0.2,3.4,3.0,24.4,,-1.61
0,Marcus Paige,2012-13,UNC,ACC,35,34,29.2,2.7,7.6,0.35600000000000004,1.4,3.9,0.368,1.3,3.7,0.344,1.5,1.7,0.836,0.2,2.5,2.7,4.6,1.4,0.1,2.5,1.7,8.2,,8.01
1,Marcus Paige,2013-14,UNC,ACC,34,33,35.6,5.6,12.8,0.44,3.1,6.3,0.493,2.5,6.5,0.389,3.8,4.3,0.877,0.5,2.7,3.2,4.2,1.5,0.2,2.1,2.0,17.5,,8.42
2,Marcus Paige,2014-15,UNC,ACC,38,38,33.2,4.5,10.9,0.413,2.1,4.7,0.438,2.5,6.3,0.395,2.5,2.9,0.865,0.4,2.5,2.9,4.5,1.7,0.2,1.9,1.6,14.1,,11.76
3,Marcus Paige,2015-16,UNC,ACC,34,34,31.6,4.1,10.4,0.398,2.0,4.3,0.459,2.2,6.1,0.35600000000000004,2.1,2.7,0.774,0.4,2.1,2.5,3.8,1.1,0.4,1.2,1.5,12.6,,10.69
0,Daniel Hamilton,2014-15,UConn,AAC,35,35,31.4,4.0,10.5,0.38,2.7,6.6,0.401,1.3,3.8,0.34299999999999997,1.6,2.4,0.667,1.1,6.6,7.6,3.7,0.9,0.4,2.3,2.5,10.9,,4.22
1,Daniel Hamilton,2015-16,UConn,AAC,36,36,31.9,4.4,11.4,0.387,3.1,7.5,0.41600000000000004,1.3,3.9,0.331,2.4,2.8,0.86,0.9,8.0,8.9,4.7,1.1,0.4,2.4,1.8,12.5,,6.28
0,Isaiah Cousins,2012-13,Oklahoma,Big 12,32,14,15.9,1.0,3.5,0.279,0.7,2.2,0.29600000000000004,0.3,1.3,0.25,0.4,0.6,0.684,0.2,1.8,2.0,1.6,0.7,0.1,1.3,1.7,2.7,,7.09
1,Isaiah Cousins,2013-14,Oklahoma,Big 12,33,33,29.5,3.8,8.5,0.441,2.6,5.7,0.46,1.2,2.8,0.404,2.4,2.9,0.804,1.5,2.7,4.2,2.1,1.2,0.3,1.6,2.9,11.0,,8.97
2,Isaiah Cousins,2014-15,Oklahoma,Big 12,35,35,30.8,4.3,10.1,0.424,2.5,6.1,0.407,1.8,4.0,0.45,1.3,2.0,0.648,0.9,3.7,4.6,2.2,1.2,0.4,2.1,1.9,11.7,,9.94
3,Isaiah Cousins,2015-16,Oklahoma,Big 12,37,37,33.3,4.6,11.2,0.406,2.8,7.0,0.403,1.8,4.3,0.411,1.8,2.6,0.67,0.6,3.8,4.5,4.5,1.4,0.3,2.4,1.7,12.6,,11.14
0,Jaron Blossomgame,2013-14,Clemson,ACC,33,30,23.5,1.9,4.8,0.395,1.6,3.2,0.486,0.3,1.5,0.2,0.8,1.4,0.596,1.6,3.4,5.0,0.4,0.3,0.4,0.8,1.5,4.9,,5.97
1,Jaron Blossomgame,2014-15,Clemson,ACC,31,31,30.9,4.6,9.5,0.486,4.1,7.6,0.536,0.5,1.9,0.28800000000000003,3.3,4.6,0.708,2.5,5.7,8.2,1.0,0.8,0.4,1.7,1.5,13.1,,7.18
2,Jaron Blossomgame,2015-16,Clemson,ACC,31,31,34.2,6.5,12.6,0.513,5.0,9.4,0.536,1.5,3.3,0.446,4.3,5.5,0.782,1.8,4.9,6.7,1.5,0.7,1.3,1.8,2.0,18.7,,6.87
3,Jaron Blossomgame,2016-17,Clemson,ACC,33,33,34.3,6.7,13.4,0.499,5.9,10.5,0.565,0.7,2.8,0.255,3.6,5.1,0.7140000000000001,1.8,4.5,6.3,1.5,0.8,0.9,1.7,1.6,17.7,,9.98
0,Buddy Hield,2012-13,Oklahoma,Big 12,27,13,25.1,3.0,7.7,0.388,2.3,4.8,0.481,0.7,3.0,0.238,1.1,1.3,0.833,1.8,2.4,4.2,1.9,1.2,0.3,1.6,1.9,7.8,,7.09
1,Buddy Hield,2013-14,Oklahoma,Big 12,33,33,32.1,5.9,13.3,0.445,3.2,6.3,0.512,2.7,7.1,0.386,1.9,2.5,0.75,1.8,2.7,4.4,1.9,1.4,0.2,1.8,2.2,16.5,,8.97
2,Buddy Hield,2014-15,Oklahoma,Big 12,35,35,32.4,5.9,14.2,0.412,3.2,6.8,0.469,2.7,7.4,0.359,3.1,3.7,0.823,1.6,3.8,5.4,1.9,1.3,0.2,1.9,1.7,17.4,,9.94
3,Buddy Hield,2015-16,Oklahoma,Big 12,37,37,35.4,8.1,16.2,0.501,4.2,7.5,0.552,4.0,8.7,0.457,4.8,5.4,0.88,1.2,4.5,5.7,2.0,1.1,0.5,3.1,2.1,25.0,,11.14
0,Marquese Chriss,2015-16,Washington,Pac-12,34,34,24.9,5.3,9.9,0.53,4.6,8.2,0.568,0.6,1.8,0.35,2.6,3.8,0.682,2.5,2.9,5.4,0.8,0.9,1.6,2.0,4.1,13.7,,8.12
0,Jakob Poeltl,2014-15,Utah,Pac-12,34,34,23.3,3.8,5.5,0.6809999999999999,3.8,5.5,0.684,0.0,0.0,0.0,1.6,3.6,0.444,2.7,4.1,6.8,0.7,0.4,1.9,1.6,2.4,9.1,,7.42
1,Jakob Poeltl,2015-16,Utah,Pac-12,36,36,30.4,6.3,9.8,0.6459999999999999,6.3,9.8,0.6459999999999999,0.0,0.0,,4.6,6.6,0.6890000000000001,2.8,6.3,9.1,1.9,0.6,1.6,2.1,2.3,17.2,,8.79
0,Zach Collins,2016-17,Gonzaga,WCC,39,0,17.3,3.5,5.3,0.652,3.2,4.8,0.672,0.3,0.5,0.47600000000000003,2.8,3.8,0.743,1.7,4.2,5.9,0.4,0.5,1.8,1.5,2.7,10.0,,4.13
0,Luke Kennard,2015-16,Duke,ACC,36,11,26.7,3.9,9.3,0.421,2.4,4.5,0.528,1.5,4.8,0.32,2.4,2.8,0.889,1.0,2.6,3.6,1.5,0.9,0.2,0.8,1.9,11.8,,10.59
1,Luke Kennard,2016-17,Duke,ACC,37,36,35.5,6.4,13.1,0.489,4.0,7.7,0.525,2.4,5.4,0.438,4.3,5.1,0.856,1.2,3.9,5.1,2.5,0.8,0.4,1.6,2.2,19.5,,10.91
0,Donovan Mitchell,2015-16,Louisville,ACC,31,5,19.1,2.7,6.1,0.442,2.1,3.8,0.5589999999999999,0.6,2.3,0.25,1.4,1.8,0.754,1.1,2.3,3.4,1.7,0.8,0.1,1.0,2.5,7.4,,7.74
1,Donovan Mitchell,2016-17,Louisville,ACC,34,33,32.3,5.3,13.1,0.408,3.0,6.4,0.46299999999999997,2.4,6.6,0.354,2.6,3.2,0.8059999999999999,1.1,3.8,4.9,2.7,2.1,0.5,1.6,2.6,15.6,,11.15
0,Bam Adebayo,2016-17,Kentucky,SEC,38,38,30.1,4.5,7.5,0.599,4.5,7.5,0.599,0.0,0.0,,4.1,6.2,0.653,3.1,4.9,8.0,0.8,0.7,1.5,1.7,2.6,13.0,,10.49
0,Justin Patton,2016-17,Creighton,Big East,35,34,25.3,5.7,8.5,0.6759999999999999,5.5,8.0,0.6829999999999999,0.2,0.4,0.5329999999999999,1.3,2.5,0.517,1.7,4.5,6.2,1.2,0.9,1.4,1.7,2.7,12.9,,8.95
0,D.J. Wilson,2014-15,Michigan,Big Ten,5,0,4.8,0.2,0.8,0.25,0.2,0.6,0.333,0.0,0.2,0.0,0.0,0.0,,0.2,1.0,1.2,0.0,0.0,0.6,0.2,0.8,0.4,,9.59
1,D.J. Wilson,2015-16,Michigan,Big Ten,26,0,6.1,1.0,2.2,0.474,0.7,1.3,0.5760000000000001,0.3,0.9,0.333,0.3,0.4,0.727,0.2,0.5,0.7,0.3,0.2,0.4,0.3,0.8,2.7,,7.92
2,D.J. Wilson,2016-17,Michigan,Big Ten,38,36,30.4,4.3,8.0,0.5379999999999999,3.2,5.1,0.631,1.1,2.9,0.373,1.3,1.6,0.833,1.5,3.8,5.3,1.3,0.5,1.5,1.1,1.9,11.0,,10.17
0,T.J. Leaf,2016-17,UCLA,Pac-12,35,35,29.9,6.7,10.9,0.617,5.9,9.2,0.644,0.8,1.7,0.466,2.1,3.0,0.679,2.2,6.0,8.2,2.4,0.6,1.1,1.5,2.5,16.3,,6.39
0,John Collins,2015-16,Wake Forest,ACC,31,1,14.4,2.6,4.8,0.547,2.6,4.8,0.547,0.0,0.0,,2.1,3.0,0.691,1.7,2.3,3.9,0.2,0.3,0.7,1.0,2.6,7.3,,10.53
1,John Collins,2016-17,Wake Forest,ACC,33,33,26.6,7.1,11.4,0.622,7.1,11.4,0.624,0.0,0.0,0.0,5.0,6.7,0.745,3.8,6.1,9.8,0.5,0.6,1.6,1.8,3.0,19.2,,9.8
0,Harry Giles,2016-17,Duke,ACC,26,6,11.5,1.7,3.0,0.5770000000000001,1.7,3.0,0.5770000000000001,0.0,0.0,,0.5,0.9,0.5,1.6,2.3,3.8,0.3,0.3,0.7,0.7,2.2,3.9,,10.91
0,Jarrett Allen,2016-17,Texas,Big 12,33,33,32.2,5.4,9.6,0.5660000000000001,5.4,9.4,0.579,0.0,0.2,0.0,2.5,4.5,0.564,3.0,5.4,8.4,0.8,0.6,1.5,2.5,2.1,13.4,,12.75
0,OG Anunoby,2015-16,Indiana,Big Ten,34,0,13.7,1.9,3.4,0.569,1.6,2.6,0.609,0.4,0.9,0.44799999999999995,0.6,1.2,0.47600000000000003,1.2,1.4,2.6,0.5,0.8,0.8,0.8,1.5,4.9,,6.9
1,OG Anunoby,2016-17,Indiana,Big Ten,16,10,25.1,4.3,7.6,0.557,3.4,4.8,0.701,0.9,2.8,0.311,1.7,3.0,0.563,1.8,3.7,5.4,1.4,1.3,1.3,1.6,2.1,11.1,,8.16
0,Tyler Lydon,2015-16,Syracuse,ACC,37,0,30.3,3.4,7.2,0.479,2.1,3.9,0.542,1.3,3.3,0.405,1.9,2.5,0.774,1.8,4.5,6.3,1.1,1.1,1.8,1.3,2.7,10.1,,9.75
1,Tyler Lydon,2016-17,Syracuse,ACC,34,34,36.1,4.4,9.4,0.473,3.0,5.7,0.523,1.4,3.6,0.395,2.9,3.4,0.836,2.3,6.3,8.6,2.1,1.0,1.4,1.7,2.5,13.2,,8.47
0,Kyle Kuzma,2014-15,Utah,Pac-12,31,0,8.1,1.2,2.5,0.456,0.8,1.5,0.556,0.4,1.1,0.324,0.6,1.2,0.556,0.3,1.5,1.8,0.6,0.0,0.2,0.6,1.0,3.3,,7.42
1,Kyle Kuzma,2015-16,Utah,Pac-12,36,35,24.1,4.3,8.2,0.522,3.9,6.8,0.578,0.4,1.4,0.255,1.8,3.0,0.617,1.8,3.9,5.7,1.4,0.3,0.4,2.0,2.0,10.8,,8.79
2,Kyle Kuzma,2016-17,Utah,Pac-12,29,29,30.8,6.3,12.4,0.504,5.3,9.6,0.56,0.9,2.9,0.321,2.9,4.4,0.669,2.8,6.6,9.3,2.4,0.6,0.5,2.1,1.6,16.4,,4.32
0,Tony Bradley,2016-17,UNC,ACC,38,0,14.6,2.7,4.7,0.573,2.7,4.7,0.573,0.0,0.0,,1.7,2.8,0.619,2.6,2.6,5.1,0.6,0.3,0.6,0.7,1.8,7.1,,11.76
0,Derrick White,2016-17,Colorado,Pac-12,34,32,32.8,6.0,11.9,0.507,4.4,7.6,0.569,1.7,4.2,0.396,4.4,5.4,0.813,1.0,3.1,4.1,4.4,1.2,1.4,2.4,2.1,18.1,,6.0
0,Frank Jackson,2016-17,Duke,ACC,36,16,24.9,3.7,7.8,0.473,2.3,4.2,0.539,1.4,3.6,0.395,2.1,2.8,0.755,0.6,1.9,2.5,1.7,0.6,0.1,1.4,2.4,10.9,,10.91
0,Davon Reed,2013-14,Miami (FL),ACC,33,10,20.7,2.2,6.3,0.34299999999999997,0.9,2.9,0.326,1.2,3.4,0.35700000000000004,1.1,1.6,0.6729999999999999,0.4,1.3,1.7,1.2,0.5,0.1,1.3,1.7,6.6,,5.63
1,Davon Reed,2014-15,Miami (FL),ACC,30,21,27.5,2.6,5.5,0.47,1.3,2.8,0.48200000000000004,1.2,2.7,0.457,1.9,2.6,0.727,0.8,3.2,4.0,1.9,0.9,0.4,1.1,2.3,8.2,,7.05
2,Davon Reed,2015-16,Miami (FL),ACC,35,35,28.8,3.7,7.9,0.469,2.4,4.4,0.535,1.3,3.4,0.38299999999999995,2.4,2.9,0.816,0.6,3.5,4.1,1.2,0.8,0.4,1.3,2.1,11.1,,10.69
3,Davon Reed,2016-17,Miami (FL),ACC,33,33,35.3,4.9,11.3,0.433,2.5,5.2,0.474,2.4,6.0,0.397,2.7,3.3,0.833,0.8,3.9,4.8,2.4,1.3,0.5,2.0,1.6,14.9,,9.57
0,Wesley Iwundu,2013-14,Kansas State,Big 12,33,32,23.6,2.2,4.7,0.461,1.9,4.2,0.467,0.2,0.5,0.412,2.2,3.4,0.634,1.3,2.9,4.2,1.8,0.6,0.4,1.3,2.2,6.7,,8.47
1,Wesley Iwundu,2014-15,Kansas State,Big 12,31,24,25.2,2.0,5.0,0.404,1.8,4.4,0.416,0.2,0.6,0.316,1.5,2.5,0.595,1.1,2.4,3.5,2.0,0.7,0.6,2.0,2.1,5.8,,9.29
2,Wesley Iwundu,2015-16,Kansas State,Big 12,33,32,32.4,4.2,8.9,0.478,4.1,8.0,0.51,0.2,0.9,0.2,3.3,4.7,0.6920000000000001,1.2,3.4,4.5,3.7,1.3,0.2,2.9,2.4,11.9,,9.79
3,Wesley Iwundu,2016-17,Kansas State,Big 12,35,35,31.4,4.3,9.0,0.481,3.4,6.5,0.52,0.9,2.4,0.376,3.5,4.5,0.767,1.0,5.3,6.3,3.5,1.0,0.3,2.3,1.8,13.0,,10.48
0,Frank Mason,2013-14,Kansas,Big 12,35,3,16.1,1.8,4.3,0.41700000000000004,1.3,2.7,0.469,0.5,1.6,0.327,1.3,2.0,0.662,0.2,1.1,1.3,2.1,0.5,0.0,1.1,1.9,5.5,,11.4
1,Frank Mason,2014-15,Kansas,Big 12,36,36,33.5,4.2,9.4,0.441,3.0,6.7,0.446,1.2,2.7,0.429,3.1,3.9,0.7859999999999999,0.6,3.3,3.9,3.9,1.4,0.1,2.1,1.8,12.6,,12.13
2,Frank Mason,2015-16,Kansas,Big 12,38,38,33.5,4.1,9.4,0.434,2.9,6.4,0.45899999999999996,1.1,3.0,0.381,3.6,4.8,0.7390000000000001,0.7,3.6,4.3,4.6,1.3,0.1,1.9,2.2,12.9,,11.22
3,Frank Mason,2016-17,Kansas,Big 12,36,36,36.1,6.7,13.7,0.49,4.4,8.8,0.5,2.3,4.8,0.47100000000000003,5.3,6.6,0.794,0.6,3.6,4.2,5.2,1.3,0.1,2.4,2.0,20.9,,12.23
0,Ivan Rabb,2015-16,California,Pac-12,34,34,28.7,4.7,7.7,0.615,4.7,7.6,0.615,0.0,0.1,0.5,3.0,4.5,0.669,2.8,5.8,8.5,0.9,0.5,1.2,1.5,3.1,12.5,,7.87
1,Ivan Rabb,2016-17,California,Pac-12,31,30,32.6,4.9,10.1,0.484,4.6,9.4,0.49,0.3,0.6,0.4,4.0,6.0,0.6629999999999999,3.0,7.4,10.5,1.5,0.7,1.0,2.2,3.1,14.0,,6.34
0,Semi Ojeleye,2013-14,Duke,ACC,17,0,4.7,0.4,0.8,0.5,0.2,0.4,0.429,0.2,0.4,0.5710000000000001,0.6,0.6,0.909,0.4,0.5,0.9,0.1,0.2,0.2,0.3,0.4,1.6,,8.48
1,Semi Ojeleye,2014-15,Duke,ACC,6,0,10.5,0.8,3.0,0.278,0.2,0.3,0.5,0.7,2.7,0.25,0.7,1.2,0.5710000000000001,0.5,1.8,2.3,0.2,0.5,0.0,0.0,1.8,3.0,,9.87
2,Semi Ojeleye,2016-17,SMU,AAC,35,35,34.1,6.0,12.3,0.48700000000000004,3.9,7.4,0.529,2.1,4.9,0.424,4.9,6.3,0.785,2.3,4.6,6.9,1.5,0.4,0.4,1.4,1.8,19.0,,4.45
0,Jordan Bell,2014-15,Oregon,Pac-12,35,20,23.7,2.4,4.0,0.597,2.4,4.0,0.597,0.0,0.0,,0.3,0.6,0.524,1.9,4.2,6.1,1.3,0.8,2.7,1.1,2.7,5.1,,7.65
1,Jordan Bell,2015-16,Oregon,Pac-12,31,4,20.5,2.9,5.1,0.5760000000000001,2.9,5.0,0.583,0.0,0.1,0.0,0.9,1.7,0.519,1.5,3.8,5.3,1.2,1.1,1.7,1.6,2.5,6.8,,8.64
2,Jordan Bell,2016-17,Oregon,Pac-12,39,38,28.8,4.4,6.9,0.636,4.3,6.5,0.659,0.1,0.4,0.214,2.1,3.0,0.701,2.9,5.9,8.8,1.8,1.3,2.3,1.9,1.7,10.9,,8.38
0,Jawun Evans,2015-16,Oklahoma State,Big 12,22,20,28.9,4.4,9.4,0.47100000000000003,3.5,7.5,0.47,0.9,1.8,0.475,3.2,3.8,0.833,0.5,3.9,4.4,4.9,1.1,0.2,2.5,2.5,12.9,,8.81
1,Jawun Evans,2016-17,Oklahoma State,Big 12,32,32,29.3,6.6,15.1,0.43799999999999994,5.5,12.1,0.452,1.1,3.0,0.379,4.8,6.0,0.812,0.8,2.7,3.4,6.4,1.8,0.1,2.8,2.3,19.2,,12.22
0,Dwayne Bacon,2015-16,Florida State,ACC,34,32,28.8,5.8,13.0,0.447,4.9,9.6,0.505,0.9,3.4,0.281,3.2,4.5,0.7140000000000001,1.4,4.4,5.8,1.5,1.0,0.0,2.2,2.1,15.8,,8.16
1,Dwayne Bacon,2016-17,Florida State,ACC,35,35,28.8,6.3,14.0,0.452,4.7,9.1,0.516,1.6,4.9,0.333,3.0,3.9,0.754,1.0,3.2,4.2,1.7,1.0,0.1,2.0,1.6,17.2,,8.87
0,Tyler Dorsey,2015-16,Oregon,Pac-12,36,35,30.1,4.3,9.6,0.441,2.4,5.1,0.473,1.9,4.6,0.406,3.1,4.3,0.7120000000000001,1.3,3.0,4.3,2.0,0.8,0.2,1.9,2.1,13.4,,8.64
1,Tyler Dorsey,2016-17,Oregon,Pac-12,39,39,30.0,4.8,10.4,0.467,2.6,5.1,0.513,2.3,5.3,0.423,2.7,3.6,0.755,0.8,2.6,3.5,1.7,0.8,0.1,1.5,1.5,14.6,,8.38
0,Thomas Bryant,2015-16,Indiana,Big Ten,35,35,22.6,4.5,6.6,0.6829999999999999,4.3,6.1,0.7070000000000001,0.1,0.4,0.333,2.7,3.9,0.706,2.0,3.8,5.8,1.0,0.5,0.9,1.7,2.8,11.9,,6.9
1,Thomas Bryant,2016-17,Indiana,Big Ten,34,34,28.1,4.4,8.4,0.519,3.7,6.6,0.556,0.7,1.8,0.383,3.2,4.4,0.73,2.2,4.4,6.6,1.5,0.8,1.5,2.3,3.1,12.6,,8.16
0,Damyean Dotson,2012-13,Oregon,Pac-12,37,36,27.9,4.4,10.0,0.439,3.1,6.2,0.509,1.3,3.9,0.32899999999999996,1.3,1.8,0.723,0.9,2.6,3.5,0.9,0.9,0.1,1.4,1.1,11.4,,5.77
1,Damyean Dotson,2013-14,Oregon,Pac-12,33,33,23.8,3.5,8.0,0.43799999999999994,2.7,5.5,0.495,0.8,2.5,0.313,1.6,2.0,0.8029999999999999,0.7,2.5,3.2,1.2,0.5,0.2,1.2,1.8,9.4,,8.05
2,Damyean Dotson,2015-16,Houston,AAC,32,32,31.0,5.1,10.1,0.506,3.2,4.8,0.6579999999999999,1.9,5.3,0.3670000000000001,1.7,2.1,0.833,1.9,4.8,6.8,1.3,0.7,0.2,1.0,1.9,13.9,,2.17
3,Damyean Dotson,2016-17,Houston,AAC,32,32,34.3,6.3,13.4,0.47,2.9,5.8,0.505,3.4,7.6,0.44299999999999995,1.4,1.7,0.83,1.5,5.4,6.9,1.1,0.9,0.2,1.0,1.7,17.4,,3.42
0,Dillon Brooks,2014-15,Oregon,Pac-12,36,33,28.3,4.2,9.1,0.456,3.4,6.8,0.496,0.8,2.3,0.337,2.4,2.9,0.825,1.7,3.2,4.9,1.8,0.5,0.6,2.0,3.1,11.5,,7.65
1,Dillon Brooks,2015-16,Oregon,Pac-12,38,38,32.8,6.1,12.9,0.47,4.8,9.2,0.523,1.3,3.7,0.338,3.3,4.1,0.8059999999999999,2.0,3.4,5.4,3.1,1.1,0.4,2.3,2.9,16.7,,8.64
2,Dillon Brooks,2016-17,Oregon,Pac-12,35,27,25.3,5.9,12.1,0.488,4.3,8.0,0.532,1.6,4.1,0.401,2.7,3.6,0.754,1.0,2.2,3.2,2.7,1.1,0.5,2.1,2.8,16.1,,8.38
0,Ike Anigbogu,2016-17,UCLA,Pac-12,29,0,13.0,2.0,3.5,0.564,2.0,3.5,0.564,0.0,0.0,,0.8,1.5,0.535,1.4,2.6,4.0,0.2,0.2,1.2,0.8,2.5,4.7,,6.39
0,Sindarius Thornwell,2013-14,South Carolina,SEC,34,34,29.6,4.2,10.9,0.386,3.1,7.9,0.393,1.1,2.9,0.37,3.9,5.2,0.736,1.4,2.7,4.1,3.0,1.2,0.6,3.1,2.9,13.4,,6.96
1,Sindarius Thornwell,2014-15,South Carolina,SEC,33,33,30.6,3.5,10.2,0.34,2.3,5.8,0.394,1.2,4.3,0.268,3.1,4.3,0.716,1.5,3.4,4.9,2.2,1.3,0.3,2.2,2.5,11.1,,8.24
2,Sindarius Thornwell,2015-16,South Carolina,SEC,34,34,33.1,4.2,11.1,0.382,2.9,7.0,0.41,1.4,4.1,0.333,3.6,4.7,0.764,1.1,3.7,4.8,3.8,1.5,0.5,2.3,1.9,13.4,,5.83
3,Sindarius Thornwell,2016-17,South Carolina,SEC,31,31,33.9,6.3,14.2,0.444,4.4,9.4,0.471,1.9,4.8,0.392,6.9,8.4,0.83,2.5,4.6,7.1,2.8,2.1,1.0,2.5,2.3,21.4,,10.16
0,De'Aaron Fox,2016-17,Kentucky,SEC,36,34,29.6,5.9,12.4,0.479,5.5,10.5,0.521,0.5,1.9,0.24600000000000002,4.3,5.9,0.736,0.6,3.4,4.0,4.6,1.5,0.2,2.4,2.5,16.7,,10.49
0,Monte Morris,2013-14,Iowa State,Big 12,36,17,28.1,2.1,5.0,0.43,1.4,3.1,0.445,0.8,1.9,0.406,1.7,2.0,0.847,0.5,2.1,2.6,3.7,1.3,0.2,0.8,1.7,6.8,,9.88
